Name,Area,Direction,Type,CostPerPerson,Cuisine,Rating
The Spice Garden,Downtown,North,Veg,350,Indian,4.5
Burger Bliss,Downtown,South,Non-Veg,250,American,4.0
Dragon Wok,Uptown,East,Both,400,Chinese,4.3
Pasta Paradise,Midtown,West,Veg,450,Italian,4.7
Taj Express,Downtown,East,Both,380,Indian,4.6
Tokyo Kitchen,Uptown,North,Both,550,Japanese,4.8
Veggie Delight,Midtown,South,Veg,300,Indian,4.4
BBQ Smokehouse,Downtown,North,Non-Veg,500,American,4.2
Falafel House,Uptown,South,Veg,280,Middle Eastern,4.1
Pho King Good,Midtown,East,Both,320,Vietnamese,4.5
Grilled Delights,Downtown,West,Non-Veg,420,Mediterranean,4.4
Sushi Supreme,Uptown,West,Both,600,Japanese,4.9
Green Plate,Midtown,North,Veg,290,Continental,4.3
Tandoori Nights,Downtown,East,Non-Veg,400,Indian,4.5
Thai Orchid,Uptown,East,Both,380,Thai,4.6
Chai House,Midtown,West,Veg,320,Indian,4.2
Bistro Cafe,Downtown,North,Veg,380,French,4.7
Spicy Dreams,Uptown,South,Non-Veg,370,Indian,4.4
Korean BBQ House,Midtown,East,Non-Veg,450,Korean,4.6
Pizza Palazzo,Downtown,West,Veg,280,Italian,4.3
Vegan Bliss,Uptown,North,Veg,310,Continental,4.5
Meat Lovers Paradise,Downtown,East,Non-Veg,480,American,4.4
Dumpling King,Midtown,South,Both,290,Chinese,4.4
Steakhouse Elite,Uptown,West,Non-Veg,650,American,4.8
Curry Express,Downtown,North,Both,340,Indian,4.5
Noodle Nation,Midtown,East,Both,300,Chinese,4.3
Kebab House,Uptown,South,Both,320,Middle Eastern,4.2
Sizzling Pan,Downtown,South,Both,400,Asian,4.4
Lakeside Bistro,Midtown,West,Veg,420,Continental,4.6
Spice Route,Uptown,East,Both,380,Indian,4.5
Fish & Chips,Downtown,East,Non-Veg,250,British,4.1
Rice Bowl,Midtown,North,Both,280,Asian,4.3
Vegan Kitchen,Uptown,West,Veg,300,Continental,4.4
